qty
1
20
30
50
60
15
240
90
5
118
474
7
150
180
120
720
2
6
26
540
42
45
135
100
200
270
10
28
236
473
12
24
40
16
237
14
500
1000
250
2000
300
25
448
355
335
450
1350
21
31
3
148
227
142
296
42.5
85
127.5
113
1.8
0.9
3.6
360
0.5
178
420
4
55
84
56
8
210
462
59
177
75
9
1.7
36
80
13470
40410
68
32
48
112
168
22
14.7
216
1.5
4.5
3.5
10.5
31.5
28.4
56.8
29.6
236.8
59.2
7.5
8.5
6.7
18
17
25.5
13
900
56.7
113.4
26.858
16.9
10.8
33.8
50.7
15.8
9.9
11.1
18.2
104
127
170
160
364
600
1260
6.1
18.3
12.2
392
400
91
182
273
236.5
3000
4000
225
226
140
385
280
0.8
58
840
35.44
70.88
70
54
0.1
66
95
236.56
470
425
255
454
114
99
57
28.35
1680
1.6
2.5
252
3.2
2.4
234.5
96
2100
39
35.4
630
23
11
69
133
130
260
71
43
86
266
12.9
38.7
25.8
10.7
125
63
105
170.3
340.2
340.6
46
22.5
29.57
170.1
144
230
810
28.3
156
920
117
325
46.6
23.3
93.2
69.9
47
0.05
480
472
224
5.9
11.8
17.7
32.1
0.4
0.55
0.85
37
111
74
1110
85.05
54.5
29.5
21.4
3.4
5.1
560
8.43
25.29
16.86
84.3
10.2
30.6
20.4
40.8
61.2
6.8
7.2
531
3.7
7.4
1.85
38
946
3311
1300
27
1200
414
750
8.75
990
22.2
3800
336
1500
1800
320
640
44
53
1419
192
378
368.76
1134
756
231
693
239.4
6.6
13.2
19.8
33
544
52.5
1480
592
174
660
1040
283
4160
207
35
110
354
800
9.8
17.5
711
49
56.3
73
56.4
85.2
14.2
89
204
72
33.75
6.75
16.875
5.625
78
52
208
960
1440
288
576
5.5
16.5
1892
3600
566
798
822
64
437
34
51
153
102
306
56.6
0.65
1.3
3.9
118.28
354.84
591.4
222
666
444
310
251
132
122
948
984
850
118.294
37.5
8.8
17.6
700
5600
19
116
28.8
57.6
3.92
7.84
5.6
2.8
126
189
108
8.1
24.3
16.2
1.17
2.34
8.3
118.3
410
350
1050
147
9.1
47.4
0.7
12.5
5.85
0.6
4.8
14.4
0.2
3.8
340
65
1600
510
238
119
476
1020
8000
24000
710
1420
290
244
366
2.625
2.004
538
861
112.5
1368
1.4
5.8
973
1068
158
56.24
5.25
198.4
226.8
453.6
115
228
170.4
59.1
99.2
26.25
1.25
93
155
2.63
8.4
62.5
165
234
284
1.2
554
2.28
1.14
0.67
397
452
678
324
84.9
27.324
98
196
6.667
4.4
295
29
36.8
3840
4.6
769
665
0.3
88
6250
12000
7.32
21.96
14.64
29.28
43.92
24.5
62
190
81
504
4.9
4.1
324.86
191
315
1785
16.7
30.5
91.5
46.5
61
354.8
4.167
4500
441
16.08
11.7
10.6
31.8
21.2
95.4
42.4
4.2
16.8
60.5
181.5
5401
590
188
708
25000
6.9
10.9
2.7
375
2.48
7.44
1.91
5.73
9.2
13.8
655.2
0.875
13.5
2500
430
11.937
119.368
10.64
1.56
4.68
3.12
12.6
348
11.6
81.2
66.8
33.4
133.6
106
880
5.3
8.114
7.7
